XF2,MPW,MUSCN,TR13,TR13,13.8,9001
XF2,WAUE,BRDLAND,KU2A3,KU2A3,13.8,405
XF2,MPS,MIDWAY5,23,23,13.2,19
XF2,MPS,MIDWAY5,13,13,13.2,32
XF2,SPS,PHANTM,T1_T,T1_T,13.2,46
XF2,SPS,PHANTM,T2_T,T2_T,13.2,48
XF2,SPS,CARLSBAD,SFLY,SFLY,115,30
XF2,SPS,TOLKSUB,T13,T13,13.2,109
XF2,EAI,WODWRD,AT1_T,AT1_T,13.8,88
LN2,MDU,LEWIS,LEWISCLBRT06_1,1,60,228
XF2,MDU,HESKETT,TR2,TR2,13.8,9003
XF2,MDU,HESKETT,TR1,TR1,13.8,9000
